Property_ID,Deal_ID,Property_Name,Address,City,State,Asset_Type,Property_Condition,Appraised_Value,Property_Loan,Property_LTV,Cap_Rate,Total_Area_SF
HRE-2024-104-P2,HRE-2024-104,710 Bryan Trail (Senior Housing),710 Bryan Trail,New Stephanie,TX,Senior Housing,Transitional,19050000,13030000,0.6839,0.1175,155162
HRE-2024-104-P3,HRE-2024-104,765 Nina Island (Senior Housing),765 Nina Island,Davidstad,IL,Senior Housing,Stabilized,1000000,670000,0.6707,0.0994,5545
HRE-2024-104-P4,HRE-2024-104,333 King Terrace (Senior Housing),333 King Terrace,East Karenbury,MD,Senior Housing,Transitional,3900000,2820000,0.7222,0.1162,24855
HRE-2024-105-P1,HRE-2024-105,453 Nelson Union (Medical Office),453 Nelson Union,Tuckerfurt,NC,Medical Office,Transitional,39400000,28070000,0.7125,0.0957,227967
HRE-2024-106-P1,HRE-2024-106,991 Jackson Mills (Medical Office),991 Jackson Mills,Jeremyburgh,MA,Medical Office,Lease-Up,35800000,26590000,0.7427,0.1605,1089015
HRE-2024-106-P2,HRE-2024-106,932 Cox Unions (Medical Office),932 Cox Unions,Lake Leeton,NY,Medical Office,Lease-Up,28400000,21690000,0.7639,0.1576,648047
HRE-2024-107-P1,HRE-2024-107,995 Reyes Port (Life Science),995 Reyes Port,Scottmouth,NJ,Life Science,Stabilized,32100000,14560000,0.4537,0.067,43995
HRE-2024-108-P1,HRE-2024-108,764 Rush Landing (Senior Housing),764 Rush Landing,Lake Debbie,IL,Senior Housing,Stabilized,94170000,50960000,0.5411,0.0771,396477
HRE-2024-108-P2,HRE-2024-108,309 Sanders Run (Senior Housing),309 Sanders Run,Ramirezstad,CA,Senior Housing,Stabilized,1000000,570000,0.5686,0.0753,3537
HRE-2024-109-P1,HRE-2024-109,441 Victor Loaf (Senior Housing),441 Victor Loaf,Carsonstad,MD,Senior Housing,Stabilized,1810000,860000,0.4748,0.0738,6111
HRE-2024-109-P2,HRE-2024-109,977 Wendy Heights (Senior Housing),977 Wendy Heights,Marshallshire,AZ,Senior Housing,Stabilized,1000000,440000,0.4444,0.071,3818
HRE-2024-109-P3,HRE-2024-109,601 Shannon Station (Senior Housing),601 Shannon Station,New Reneetown,CO,Senior Housing,Stabilized,2970000,1330000,0.4462,0.0742,8618
HRE-2024-109-P4,HRE-2024-109,992 Contreras Station (Senior Housing),992 Contreras Station,East Joshuaport,MO,Senior Housing,Stabilized,20650000,8810000,0.4264,0.0752,76027
HRE-2024-109-P5,HRE-2024-109,377 York Station (Senior Housing),377 York Station,West Juliefurt,WA,Senior Housing,Stabilized,2820000,1310000,0.4638,0.0729,11474
HRE-2024-109-P6,HRE-2024-109,27 David Flats (Senior Housing),27 David Flats,Port Colleenhaven,TX,Senior Housing,Stabilized,5280000,2430000,0.4596,0.0743,17224
HRE-2024-109-P7,HRE-2024-109,72 Michael Ports (Senior Housing),72 Michael Ports,South Christopherview,VA,Senior Housing,Stabilized,8760000,4130000,0.4719,0.072,33387
HRE-2024-110-P1,HRE-2024-110,540 Cheryl Corners (Senior Housing),540 Cheryl Corners,Lake John,WA,Senior Housing,Stabilized,9430000,4640000,0.4923,0.0702,29391
HRE-2024-110-P2,HRE-2024-110,297 Fox Trafficway (Senior Housing),297 Fox Trafficway,Wallport,TN,Senior Housing,Stabilized,1000000,500000,0.501,0.0696,3568
HRE-2024-110-P3,HRE-2024-110,74 Day Mission (Senior Housing),74 Day Mission,North Markton,CO,Senior Housing,Stabilized,4410000,2250000,0.5097,0.0716,15291
HRE-2024-110-P4,HRE-2024-110,297 Katrina Curve (Senior Housing),297 Katrina Curve,Roseport,MO,Senior Housing,Stabilized,32240000,16640000,0.5161,0.071,121306
HRE-2024-110-P5,HRE-2024-110,250 April Hollow (Senior Housing),250 April Hollow,Elizabethfurt,NC,Senior Housing,Stabilized,3700000,1860000,0.5033,0.0715,12534
HRE-2024-110-P6,HRE-2024-110,544 Michael Path (Senior Housing),544 Michael Path,Stevenland,NY,Senior Housing,Stabilized,2110000,1090000,0.5174,0.0692,6574
HRE-2024-111-P1,HRE-2024-111,318 Martinez Hollow (Medical Office),318 Martinez Hollow,Michaelburgh,MO,Medical Office,Stabilized,11350000,6280000,0.5536,0.0781,39015
HRE-2024-111-P2,HRE-2024-111,895 Marshall Junctions (Medical Office),895 Marshall Junctions,Shelleyfort,MA,Medical Office,Stabilized,3990000,2110000,0.5299,0.0775,12924
HRE-2024-111-P3,HRE-2024-111,197 Dougherty Way (Medical Office),197 Dougherty Way,New Williamberg,WI,Medical Office,Stabilized,8710000,4700000,0.5395,0.0759,27278
HRE-2024-111-P4,HRE-2024-111,926 Williams Haven (Medical Office),926 Williams Haven,North Cynthiaview,IL,Medical Office,Below-Market,8740000,5070000,0.5796,0.0814,38254
HRE-2024-111-P5,HRE-2024-111,242 Duran Harbors (Medical Office),242 Duran Harbors,North Markton,CO,Medical Office,Below-Market,6680000,3910000,0.5859,0.0832,30629
HRE-2024-111-P6,HRE-2024-111,806 Micheal Spring (Medical Office),806 Micheal Spring,Teresaburgh,TX,Medical Office,Stabilized,1000000,530000,0.5265,0.079,3966
HRE-2024-112-P1,HRE-2024-112,293 Jennifer Prairie (Medical Office),293 Jennifer Prairie,Richardport,OH,Medical Office,Stabilized,1000000,500000,0.4979,0.0671,4600
HRE-2024-112-P2,HRE-2024-112,976 Ann Shore (Medical Office),976 Ann Shore,Wilkersonmouth,TX,Medical Office,Stabilized,3160000,1590000,0.502,0.0666,10894
HRE-2024-112-P3,HRE-2024-112,543 Bishop Fields (Medical Office),543 Bishop Fields,East Joycetown,MO,Medical Office,Stabilized,14360000,7110000,0.4949,0.0641,36715
HRE-2024-112-P4,HRE-2024-112,813 Michael Mills (Medical Office),813 Michael Mills,South Matthew,WI,Medical Office,Stabilized,21240000,9900000,0.4661,0.0637,60189
HRE-2024-112-P5,HRE-2024-112,531 Santos Throughway (Medical Office),531 Santos Throughway,Elizabethstad,MA,Medical Office,Stabilized,19040000,9460000,0.497,0.0628,57214
HRE-2024-113-P1,HRE-2024-113,305 Lopez Summit (Life Science),305 Lopez Summit,Grimesmouth,WA,Life Science,Stabilized,12600000,6840000,0.5426,0.0718,16228
HRE-2024-114-P1,HRE-2024-114,479 Nelson Valleys (Medical Office),479 Nelson Valleys,Sheilaville,PA,Medical Office,Transitional,11800000,8080000,0.6844,0.1041,65485
HRE-2024-115-P1,HRE-2024-115,486 Jose Lake (Medical Office),486 Jose Lake,New Jessica,CA,Medical Office,Stabilized,8400000,5260000,0.6266,0.0772,28099
HRE-2024-116-P1,HRE-2024-116,325 Kathleen Springs (Medical Office),325 Kathleen Springs,Julieburgh,TN,Medical Office,Stabilized,21000000,11370000,0.5412,0.0667,62774
HRE-2024-117-P1,HRE-2024-117,898 Beth Cape (Senior Housing),898 Beth Cape,Daviston,TX,Senior Housing,Stabilized,20500000,14720000,0.7181,0.1024,115691
HRE-2024-118-P1,HRE-2024-118,847 Sarah Cliff (Skilled Nursing),847 Sarah Cliff,Jeremyburgh,MA,Skilled Nursing,Below-Market,57300000,39760000,0.6939,0.1341,302004
HRE-2024-119-P1,HRE-2024-119,377 Katie Stream (Medical Office),377 Katie Stream,Daviston,TX,Medical Office,Stabilized,8000000,4090000,0.5107,0.0586,19917
HRE-2024-120-P1,HRE-2024-120,741 Nunez Plains (Senior Housing),741 Nunez Plains,Daviston,TX,Senior Housing,Stabilized,23700000,15790000,0.6663,0.1106,150115
HRE-2024-121-P1,HRE-2024-121,83 Steven Drives (Medical Office),83 Steven Drives,Grimesmouth,WA,Medical Office,Transitional,9500000,6920000,0.7289,0.1199,69017
HRE-2024-122-P1,HRE-2024-122,792 John Cape (Medical Office),792 John Cape,New Stephanie,TX,Medical Office,Stabilized,30400000,17120000,0.5632,0.0725,97689
HRE-2024-123-P1,HRE-2024-123,765 David Skyway (Medical Office),765 David Skyway,North Jessicaland,FL,Medical Office,Stabilized,4950000,2180000,0.4408,0.0719,15755
HRE-2024-123-P2,HRE-2024-123,472 Morgan Field (Medical Office),472 Morgan Field,Jeffreyborough,OH,Medical Office,Stabilized,8380000,3760000,0.4489,0.0712,24832
HRE-2024-123-P3,HRE-2024-123,543 Randy Garden (Medical Office),543 Randy Garden,South Joshuaville,MN,Medical Office,Stabilized,23180000,10460000,0.4514,0.0697,72928
HRE-2024-124-P1,HRE-2024-124,487 Phillips Flat (Senior Housing),487 Phillips Flat,South David,NY,Senior Housing,Lease-Up,8000000,5680000,0.7096,0.1608,206055
HRE-2024-125-P1,HRE-2024-125,788 Victor Shoal (Medical Office),788 Victor Shoal,Gilmorefort,VA,Medical Office,Stabilized,1000000,640000,0.6354,0.0653,5346
HRE-2024-125-P2,HRE-2024-125,612 William Landing (Medical Office),612 William Landing,Johnfurt,IL,Medical Office,Stabilized,5570000,3480000,0.624,0.0668,16854
HRE-2024-125-P3,HRE-2024-125,140 Chung Mount (Medical Office),140 Chung Mount,Shieldston,FL,Medical Office,Stabilized,11670000,7380000,0.6328,0.067,33101
HRE-2024-125-P4,HRE-2024-125,76 Patricia Canyon (Medical Office),76 Patricia Canyon,East Paigeberg,MD,Medical Office,Stabilized,8300000,5210000,0.6275,0.0661,25540
HRE-2024-126-P1,HRE-2024-126,164 Connor Fort (Senior Housing),164 Connor Fort,South Dana,CO,Senior Housing,Stabilized,1000000,490000,0.494,0.0812,4055
HRE-2024-126-P2,HRE-2024-126,905 Novak Islands (Senior Housing),905 Novak Islands,Shelleyfort,MA,Senior Housing,Stabilized,4690000,2250000,0.4794,0.0839,21093
HRE-2024-126-P3,HRE-2024-126,117 Perez Plaza (Senior Housing),117 Perez Plaza,West Elizabeth,FL,Senior Housing,Stabilized,5560000,2610000,0.4692,0.0845,24421
HRE-2024-126-P4,HRE-2024-126,633 Miller River (Senior Housing),633 Miller River,Hudsonfurt,AZ,Senior Housing,Stabilized,15740000,7330000,0.4659,0.0827,69511
HRE-2024-126-P5,HRE-2024-126,188 Joseph Light (Senior Housing),188 Joseph Light,Adamsborough,TX,Senior Housing,Stabilized,1800000,850000,0.4749,0.0841,7291
HRE-2024-126-P6,HRE-2024-126,569 Rodriguez Avenue (Senior Housing),569 Rodriguez Avenue,Port Katelynfort,VA,Senior Housing,Stabilized,1570000,750000,0.4804,0.0828,6864
HRE-2024-126-P7,HRE-2024-126,835 David Ferry (Senior Housing),835 David Ferry,Michellechester,NJ,Senior Housing,Stabilized,5060000,2550000,0.5037,0.085,20579
HRE-2024-126-P8,HRE-2024-126,32 Garcia Corners (Senior Housing),32 Garcia Corners,West Robin,TN,Senior Housing,Stabilized,1410000,680000,0.4795,0.0843,4894
HRE-2024-127-P1,HRE-2024-127,305 Shields Bridge (Life Science),305 Shields Bridge,Micheleberg,MN,Life Science,Stabilized,27900000,12350000,0.4427,0.0651,31567
HRE-2024-128-P1,HRE-2024-128,297 Ashley Extension (Medical Office),297 Ashley Extension,North Marieland,WI,Medical Office,Below-Market,16000000,10550000,0.6592,0.1047,94176
HRE-2024-129-P1,HRE-2024-129,17 Alexander Meadows (Skilled Nursing),17 Alexander Meadows,West Carolinestad,WI,Skilled Nursing,Below-Market,27600000,18800000,0.6812,0.1359,150470
HRE-2024-130-P1,HRE-2024-130,232 Timothy Fall (Skilled Nursing),232 Timothy Fall,New Stacyland,AZ,Skilled Nursing,Stabilized,32900000,19810000,0.602,0.1268,121425
HRE-2024-131-P1,HRE-2024-131,942 Faulkner Tunnel (Senior Housing),942 Faulkner Tunnel,West Amandamouth,MD,Senior Housing,Below-Market,18350000,11760000,0.6409,0.1089,130227
HRE-2024-131-P2,HRE-2024-131,254 Diaz Port (Senior Housing),254 Diaz Port,South Shannon,WI,Senior Housing,Stabilized,1130000,680000,0.6057,0.1041,6113
HRE-2024-131-P3,HRE-2024-131,211 Erin Plaza (Senior Housing),211 Erin Plaza,North Noahstad,CA,Senior Housing,Below-Market,8030000,5300000,0.66,0.1132,54995
HRE-2024-132-P1,HRE-2024-132,786 Samuel Highway (Medical Office),786 Samuel Highway,Ramirezstad,CA,Medical Office,Stabilized,19110000,10520000,0.5505,0.077,71095
HRE-2024-132-P2,HRE-2024-132,344 Rasmussen Isle (Medical Office),344 Rasmussen Isle,East Joshuashire,WI,Medical Office,Stabilized,23690000,13190000,0.5568,0.0812,83104
HRE-2024-133-P1,HRE-2024-133,804 Alvarez Mill (Senior Housing),804 Alvarez Mill,New Stacyland,AZ,Senior Housing,Lease-Up,26900000,17950000,0.6674,0.1413,441630
HRE-2024-134-P1,HRE-2024-134,919 Andrew Junctions (Medical Office),919 Andrew Junctions,Lake Jesustown,MD,Medical Office,Stabilized,13550000,8550000,0.6311,0.0801,52773
HRE-2024-134-P2,HRE-2024-134,162 Wilson Skyway (Medical Office),162 Wilson Skyway,Robinsonhaven,GA,Medical Office,Below-Market,1000000,680000,0.6792,0.0847,7214
HRE-2024-134-P3,HRE-2024-134,965 Barnes Dam (Medical Office),965 Barnes Dam,West Andrea,WA,Medical Office,Stabilized,3880000,2470000,0.6378,0.0773,14297
HRE-2024-135-P1,HRE-2024-135,590 Amanda Extension (Medical Office),590 Amanda Extension,Lake Roymouth,NC,Medical Office,Transitional,39500000,30490000,0.7718,0.0974,199054
HRE-2024-136-P1,HRE-2024-136,747 Callahan Ridge (Life Science),747 Callahan Ridge,Stephaniemouth,GA,Life Science,Transitional,11800000,7770000,0.6586,0.125,28653
HRE-2024-137-P1,HRE-2024-137,50 Linda Port (Skilled Nursing),50 Linda Port,Lake Thomas,MA,Skilled Nursing,Stabilized,13300000,7740000,0.5821,0.1333,54006
HRE-2024-138-P1,HRE-2024-138,165 Mario Squares (Senior Housing),165 Mario Squares,Tashatown,TX,Senior Housing,Lease-Up,21400000,15290000,0.7147,0.1402,413159
HRE-2024-139-P1,HRE-2024-139,861 Derek Terrace (Skilled Nursing),861 Derek Terrace,South Melaniechester,MN,Skilled Nursing,Below-Market,46000000,31070000,0.6754,0.1253,248097
HRE-2024-140-P1,HRE-2024-140,88 Jacqueline Curve (Medical Office),88 Jacqueline Curve,North Jeremyshire,VA,Medical Office,Below-Market,5430000,3930000,0.7237,0.0989,32925
HRE-2024-140-P2,HRE-2024-140,116 Reid Square (Medical Office),116 Reid Square,Murphyland,PA,Medical Office,Stabilized,4040000,2860000,0.7079,0.0935,17688
HRE-2024-140-P3,HRE-2024-140,620 Nicole Hollow (Medical Office),620 Nicole Hollow,Jasminemouth,NJ,Medical Office,Transitional,1000000,760000,0.7574,0.1136,7733
HRE-2024-140-P4,HRE-2024-140,281 Barber Throughway (Medical Office),281 Barber Throughway,Chavezburgh,MO,Medical Office,Stabilized,1000000,680000,0.6832,0.0914,5042
HRE-2024-140-P5,HRE-2024-140,730 Casey Port (Medical Office),730 Casey Port,North Donna,MN,Medical Office,Below-Market,1000000,730000,0.7313,0.0963,6783
HRE-2024-140-P6,HRE-2024-140,726 John Rapid (Medical Office),726 John Rapid,Gomezchester,FL,Medical Office,Stabilized,3350000,2320000,0.6919,0.0937,15639
HRE-2024-140-P7,HRE-2024-140,302 Allison Bridge (Medical Office),302 Allison Bridge,Port Nicoleshire,GA,Medical Office,Transitional,8780000,6700000,0.7636,0.1145,56796
HRE-2024-140-P8,HRE-2024-140,19 Kyle Mews (Medical Office),19 Kyle Mews,Lisatown,CA,Medical Office,Stabilized,1000000,670000,0.6738,0.0913,4545
HRE-2024-140-P9,HRE-2024-140,351 David Station (Medical Office),351 David Station,Stewartland,IL,Medical Office,Stabilized,1810000,1280000,0.705,0.0948,9194
HRE-2024-140-P10,HRE-2024-140,524 Jeremy Pass (Medical Office),524 Jeremy Pass,Valentineberg,WA,Medical Office,Below-Market,1000000,730000,0.7267,0.1023,6535
HRE-2024-141-P1,HRE-2024-141,437 Walker Gateway (Medical Office),437 Walker Gateway,Jacksonport,CO,Medical Office,Stabilized,45000000,23100000,0.5133,0.0587,125904
HRE-2024-142-P1,HRE-2024-142,627 Cline Trail (Life Science),627 Cline Trail,Rodneyside,NY,Life Science,Stabilized,11000000,5030000,0.4572,0.0737,12020
HRE-2024-143-P1,HRE-2024-143,860 Miguel Highway (Medical Office),860 Miguel Highway,East Joycetown,MO,Medical Office,Stabilized,23200000,15300000,0.6595,0.0807,89445
HRE-2024-144-P1,HRE-2024-144,974 Edward Lodge (Senior Housing),974 Edward Lodge,Port Keith,CA,Senior Housing,Stabilized,17100000,9550000,0.5586,0.074,64392
HRE-2024-145-P1,HRE-2024-145,110 Stephanie Alley (Life Science),110 Stephanie Alley,Lake Brycemouth,MN,Life Science,Stabilized,10700000,5040000,0.4711,0.0698,13678
HRE-2024-146-P1,HRE-2024-146,904 Jennifer Course (Senior Housing),904 Jennifer Course,Lake Michaelstad,MD,Senior Housing,Stabilized,12700000,6270000,0.4938,0.0878,56615
HRE-2024-147-P1,HRE-2024-147,516 Haynes Landing (Skilled Nursing),516 Haynes Landing,Lake Alyssafurt,MO,Skilled Nursing,Below-Market,1730000,1200000,0.6933,0.1264,8468
HRE-2024-147-P2,HRE-2024-147,293 William Route (Skilled Nursing),293 William Route,Matthewview,AZ,Skilled Nursing,Stabilized,8890000,5560000,0.6259,0.1176,25711
HRE-2024-147-P3,HRE-2024-147,294 Bates Curve (Skilled Nursing),294 Bates Curve,Hayesmouth,NJ,Skilled Nursing,Stabilized,44990000,27150000,0.6034,0.1177,144123
HRE-2024-148-P1,HRE-2024-148,990 Haynes Street (Medical Office),990 Haynes Street,Christinaside,AZ,Medical Office,Transitional,15700000,12050000,0.7676,0.1105,101321
HRE-2024-149-P1,HRE-2024-149,980 Russell Plain (Life Science),980 Russell Plain,Kristopherbury,MA,Life Science,Stabilized,1000000,560000,0.5607,0.0795,1530
HRE-2024-149-P2,HRE-2024-149,487 Eric Spur (Life Science),487 Eric Spur,Teresaburgh,TX,Life Science,Stabilized,2910000,1520000,0.5207,0.0795,4695
HRE-2024-149-P3,HRE-2024-149,396 Jason Walks (Life Science),396 Jason Walks,New Hannahbury,AZ,Life Science,Stabilized,12510000,6690000,0.535,0.0789,15655
HRE-2024-150-P1,HRE-2024-150,765 Stephanie Walk (Skilled Nursing),765 Stephanie Walk,Davisville,WA,Skilled Nursing,Stabilized,12000000,7240000,0.6037,0.1155,35842
HRE-2024-151-P1,HRE-2024-151,391 Steven Unions (Medical Office),391 Steven Unions,East Randallton,MO,Medical Office,Stabilized,12080000,5600000,0.4632,0.0657,38190
HRE-2024-151-P2,HRE-2024-151,688 Underwood Locks (Medical Office),688 Underwood Locks,Martinezbury,FL,Medical Office,Stabilized,7380000,3440000,0.4666,0.0621,20769
HRE-2024-151-P3,HRE-2024-151,173 Deborah Parks (Medical Office),173 Deborah Parks,Lake Nicoleview,TX,Medical Office,Stabilized,12330000,5890000,0.4778,0.0619,34950
HRE-2024-152-P1,HRE-2024-152,565 Crystal Unions (Medical Office),565 Crystal Unions,East Karenbury,MD,Medical Office,Below-Market,8900000,5200000,0.5848,0.0894,51085
HRE-2024-153-P1,HRE-2024-153,837 Craig Shoals (Skilled Nursing),837 Craig Shoals,Elainefurt,VA,Skilled Nursing,Lease-Up,4090000,2950000,0.7209,0.1827,53304
HRE-2024-153-P2,HRE-2024-153,154 Kathryn Forges (Skilled Nursing),154 Kathryn Forges,Michellechester,NJ,Skilled Nursing,Lease-Up,36370000,26450000,0.7272,0.1661,764112
HRE-2024-153-P3,HRE-2024-153,605 Gregory Ramp (Skilled Nursing),605 Gregory Ramp,Brandtside,FL,Skilled Nursing,Lease-Up,25840000,18580000,0.719,0.1742,285124
HRE-2024-154-P1,HRE-2024-154,639 Jade Knoll (Skilled Nursing),639 Jade Knoll,Port Markside,CO,Skilled Nursing,Transitional,1250000,930000,0.7412,0.1522,6565
HRE-2024-154-P2,HRE-2024-154,112 Weaver Extensions (Skilled Nursing),112 Weaver Extensions,Rodriguezfurt,TN,Skilled Nursing,Transitional,7390000,5280000,0.7146,0.1413,47569
HRE-2024-154-P3,HRE-2024-154,771 Andrew Neck (Skilled Nursing),771 Andrew Neck,Walkerville,WI,Skilled Nursing,Below-Market,17740000,12480000,0.7033,0.1357,107485
HRE-2024-154-P4,HRE-2024-154,715 Lindsay Junctions (Skilled Nursing),715 Lindsay Junctions,South David,PA,Skilled Nursing,Stabilized,5440000,3530000,0.6489,0.1337,19815
HRE-2024-154-P5,HRE-2024-154,436 Andrew Radial (Skilled Nursing),436 Andrew Radial,Williamsbury,GA,Skilled Nursing,Stabilized,5670000,3820000,0.6741,0.134,25163
HRE-2024-155-P1,HRE-2024-155,627 Yu Landing (Medical Office),627 Yu Landing,North Ricky,NJ,Medical Office,Stabilized,26300000,17840000,0.6782,0.0949,102301
HRE-2024-156-P1,HRE-2024-156,207 Rosales Trail (Life Science),207 Rosales Trail,Hollyview,VA,Life Science,Stabilized,13000000,5640000,0.4335,0.0704,17904
HRE-2024-157-P1,HRE-2024-157,823 Michael Island (Senior Housing),823 Michael Island,Williamsbury,GA,Senior Housing,Stabilized,3420000,2430000,0.7104,0.1051,16449
HRE-2024-157-P2,HRE-2024-157,776 Griffin Greens (Senior Housing),776 Griffin Greens,East Robert,OH,Senior Housing,Below-Market,14600000,10990000,0.7528,0.117,104843
HRE-2024-157-P3,HRE-2024-157,694 Scott Coves (Senior Housing),694 Scott Coves,New Caseyport,CO,Senior Housing,Below-Market,2590000,1970000,0.7618,0.1111,16192
HRE-2024-157-P4,HRE-2024-157,224 Nicole Park (Senior Housing),224 Nicole Park,Elainefurt,VA,Senior Housing,Stabilized,10060000,7360000,0.7315,0.1035,40410
HRE-2024-157-P5,HRE-2024-157,894 Kramer Ports (Senior Housing),894 Kramer Ports,Lake Roberto,CA,Senior Housing,Below-Market,12560000,9270000,0.7383,0.1123,95939
HRE-2024-157-P6,HRE-2024-157,629 Kenneth Island (Senior Housing),629 Kenneth Island,North Cynthiaview,IL,Senior Housing,Below-Market,7960000,6120000,0.7685,0.1081,65860
HRE-2024-158-P1,HRE-2024-158,13 Pamela Estates (Senior Housing),13 Pamela Estates,South Joshuaville,MN,Senior Housing,Stabilized,21700000,11600000,0.5345,0.0695,65405
HRE-2024-159-P1,HRE-2024-159,485 Wheeler Ridges (Medical Office),485 Wheeler Ridges,West Kimberlychester,PA,Medical Office,Stabilized,1000000,580000,0.5798,0.073,3905
HRE-2024-159-P2,HRE-2024-159,763 Terry Stravenue (Medical Office),763 Terry Stravenue,West Carolinestad,WI,Medical Office,Stabilized,11710000,6640000,0.5668,0.0737,36963
HRE-2024-159-P3,HRE-2024-159,728 Davis Plains (Medical Office),728 Davis Plains,Bassport,IL,Medical Office,Stabilized,7400000,4160000,0.5625,0.0706,22297
HRE-2024-159-P4,HRE-2024-159,235 Sheppard Spur (Medical Office),235 Sheppard Spur,Katiehaven,GA,Medical Office,Stabilized,15980000,9640000,0.6032,0.071,46453
HRE-2024-159-P5,HRE-2024-159,375 Rodney Springs (Medical Office),375 Rodney Springs,East Nicholasfurt,NY,Medical Office,Stabilized,1300000,730000,0.5607,0.0726,5602
HRE-2024-160-P1,HRE-2024-160,129 Kristi Ways (Medical Office),129 Kristi Ways,Ericmouth,CA,Medical Office,Lease-Up,14300000,9630000,0.6734,0.1365,255113
HRE-2024-161-P1,HRE-2024-161,163 Williams Isle (Medical Office),163 Williams Isle,Saramouth,NY,Medical Office,Below-Market,11800000,8080000,0.6846,0.1025,76801
HRE-2024-162-P1,HRE-2024-162,808 Teresa Forks (Life Science),808 Teresa Forks,Margaretland,NJ,Life Science,Below-Market,39660000,26730000,0.6739,0.095,85833
HRE-2024-162-P2,HRE-2024-162,937 Robin Lodge (Life Science),937 Robin Lodge,Lake Rebeccaside,IL,Life Science,Below-Market,4040000,2830000,0.6993,0.0984,10400
HRE-2024-163-P1,HRE-2024-163,183 Larry Parkways (Life Science),183 Larry Parkways,Transtad,MA,Life Science,Below-Market,11000000,7100000,0.6455,0.1037,31340
HRE-2024-164-P1,HRE-2024-164,855 Glenn Wells (Medical Office),855 Glenn Wells,Davisville,WA,Medical Office,Below-Market,10600000,7980000,0.7526,0.101,70522
HRE-2024-165-P1,HRE-2024-165,23 Justin Lights (Senior Housing),23 Justin Lights,Wilsonton,MD,Senior Housing,Transitional,37970000,26450000,0.6965,0.1114,241216
HRE-2024-165-P2,HRE-2024-165,95 Mercedes Rue (Senior Housing),95 Mercedes Rue,Bassport,IL,Senior Housing,Stabilized,1000000,650000,0.646,0.0987,4538
HRE-2024-166-P1,HRE-2024-166,43 Palmer Way (Senior Housing),43 Palmer Way,Garciatown,MA,Senior Housing,Stabilized,43900000,20350000,0.4636,0.0859,187995
HRE-2024-167-P1,HRE-2024-167,493 Jeffrey Rest (Skilled Nursing),493 Jeffrey Rest,Jasonfort,TX,Skilled Nursing,Stabilized,24200000,11790000,0.4871,0.0905,62782
