Tenant_ID,Property_ID,Deal_ID,Tenant_Name,Asset_Type,Lease_Type,Lease_Start,Lease_End,Rent_PSF,Square_Feet,Annual_Rent,Expense_Reimb_PSF,Escalation_Rate
HRE-2024-100-P2-T7,HRE-2024-100-P2,HRE-2024-100,"Mullen, Brewer and Hernandez Practices",Medical Office,NNN,2022-05-22,2028-05-20,26.3,8236,216609.8,3.39,0.03
HRE-2024-100-P2-T8,HRE-2024-100-P2,HRE-2024-100,Thomas and Sons Practices,Medical Office,NNN,2023-12-27,2029-12-25,24.94,1378,34386.38,3.14,0.03
HRE-2024-100-P3-T1,HRE-2024-100-P3,HRE-2024-100,"Jones, Bean and Burton Practices",Medical Office,NNN,2024-01-23,2030-01-21,20.5,500,8893.62,2.3,0.03
HRE-2024-100-P3-T2,HRE-2024-100-P3,HRE-2024-100,Webster-Wolf Practices,Medical Office,NNN,2022-04-14,2030-04-12,28.01,500,11744.64,3.99,0.03
HRE-2024-100-P3-T3,HRE-2024-100-P3,HRE-2024-100,Maldonado-Macias Practices,Medical Office,NNN,2022-11-12,2031-11-10,26.13,599,15674.06,2.91,0.03
HRE-2024-100-P3-T4,HRE-2024-100-P3,HRE-2024-100,"Reid, Weber and Lin Practices",Medical Office,NNN,2023-02-21,2033-02-18,21.59,1833,39586.68,2.12,0.03
HRE-2024-100-P3-T5,HRE-2024-100-P3,HRE-2024-100,"Stewart, Gonzales and Harrison Practices",Medical Office,NNN,2022-04-03,2029-04-01,22.47,500,5733.25,3.02,0.03
HRE-2024-100-P3-T6,HRE-2024-100-P3,HRE-2024-100,"Turner, Hill and Brown Practices",Medical Office,NNN,2023-08-19,2029-08-17,24.85,748,18585.13,2.75,0.03
HRE-2024-100-P3-T7,HRE-2024-100-P3,HRE-2024-100,"Jones, Murray and Johnson Practices",Medical Office,NNN,2023-08-22,2029-08-20,27.14,851,23101.89,2.81,0.03
HRE-2024-100-P3-T8,HRE-2024-100-P3,HRE-2024-100,Decker-Jones Practices,Medical Office,NNN,2024-01-06,2028-01-05,28.93,500,1224.3,2.62,0.03
HRE-2024-100-P3-T9,HRE-2024-100-P3,HRE-2024-100,Gilbert PLC Practices,Medical Office,NNN,2022-06-03,2027-06-02,23.83,1010,24075.6,2.26,0.03
HRE-2024-100-P3-T10,HRE-2024-100-P3,HRE-2024-100,Ford-Spencer Practices,Medical Office,NNN,2022-11-18,2030-11-16,24.15,500,4812.41,2.72,0.03
HRE-2024-100-P4-T1,HRE-2024-100-P4,HRE-2024-100,"Pearson, Morris and Alvarez Practices",Medical Office,NNN,2022-11-22,2031-11-20,28.53,500,971.22,3.78,0.03
HRE-2024-100-P4-T2,HRE-2024-100-P4,HRE-2024-100,Rosario Group Practices,Medical Office,NNN,2023-01-13,2029-01-11,25.46,1686,42936.8,2.43,0.03
HRE-2024-100-P4-T3,HRE-2024-100-P4,HRE-2024-100,Shepherd LLC Practices,Medical Office,NNN,2023-04-24,2026-04-23,24.36,1998,48668.22,2.52,0.03
HRE-2024-100-P4-T4,HRE-2024-100-P4,HRE-2024-100,"Miller, Lucas and Williams Practices",Medical Office,NNN,2022-05-16,2031-05-14,26.79,890,23857.86,2.45,0.03
HRE-2024-100-P4-T5,HRE-2024-100-P4,HRE-2024-100,"Kim, Gonzales and Mills Practices",Medical Office,NNN,2022-08-28,2027-08-27,24.67,500,5245.48,2.9,0.03
HRE-2024-100-P4-T6,HRE-2024-100-P4,HRE-2024-100,Cox LLC Practices,Medical Office,NNN,2024-03-02,2027-03-02,29.07,500,1483.99,3.63,0.03
HRE-2024-100-P4-T7,HRE-2024-100-P4,HRE-2024-100,Ortiz-Morgan Practices,Medical Office,NNN,2023-11-22,2033-11-19,21.36,779,16644.46,1.78,0.03
HRE-2024-100-P4-T8,HRE-2024-100-P4,HRE-2024-100,"Williams, Mccoy and Cook Practices",Medical Office,NNN,2023-02-16,2029-02-14,23.79,500,8375.88,2.45,0.03
HRE-2024-100-P4-T9,HRE-2024-100-P4,HRE-2024-100,Davis-Gregory Practices,Medical Office,NNN,2023-08-16,2032-08-13,27.61,500,1879.26,3.66,0.03
HRE-2024-100-P5-T1,HRE-2024-100-P5,HRE-2024-100,"Brandt, Morrison and Hernandez Practices",Medical Office,NNN,2022-04-15,2024-04-14,22.24,500,11056.52,1.83,0.03
HRE-2024-100-P5-T2,HRE-2024-100-P5,HRE-2024-100,Aguilar and Sons Practices,Medical Office,NNN,2023-09-25,2026-09-24,22.47,500,566.03,2.0,0.03
HRE-2024-100-P5-T3,HRE-2024-100-P5,HRE-2024-100,Collins-Douglas Practices,Medical Office,NNN,2022-06-10,2027-06-09,26.69,1454,38827.36,2.61,0.03
HRE-2024-100-P5-T4,HRE-2024-100-P5,HRE-2024-100,"Myers, Larson and Hurley Practices",Medical Office,NNN,2023-07-13,2026-07-12,23.69,500,4843.79,2.07,0.03
HRE-2024-100-P5-T5,HRE-2024-100-P5,HRE-2024-100,Hansen-Schneider Practices,Medical Office,NNN,2023-04-16,2028-04-14,20.26,867,17570.42,2.96,0.03
HRE-2024-100-P5-T6,HRE-2024-100-P5,HRE-2024-100,Li-Santiago Practices,Medical Office,NNN,2022-06-13,2024-06-12,21.98,500,6042.2,2.95,0.03
HRE-2024-100-P5-T7,HRE-2024-100-P5,HRE-2024-100,"Osborn, Gaines and Davis Practices",Medical Office,NNN,2023-06-06,2025-06-05,28.5,500,11874.4,3.34,0.03
HRE-2024-100-P5-T8,HRE-2024-100-P5,HRE-2024-100,"Henderson, Cox and Cox Practices",Medical Office,NNN,2024-05-14,2028-05-13,26.62,500,12798.22,3.71,0.03
HRE-2024-100-P6-T1,HRE-2024-100-P6,HRE-2024-100,Lee-Cooke Practices,Medical Office,NNN,2023-02-05,2028-02-04,24.35,1827,44497.82,2.69,0.03
HRE-2024-100-P6-T2,HRE-2024-100-P6,HRE-2024-100,Jones Inc Practices,Medical Office,NNN,2023-09-18,2027-09-17,27.31,27843,760425.49,3.77,0.03
HRE-2024-100-P6-T3,HRE-2024-100-P6,HRE-2024-100,"Wise, Conley and Stephenson Practices",Medical Office,NNN,2022-04-19,2025-04-18,20.87,15569,324879.5,2.35,0.03
HRE-2024-100-P6-T4,HRE-2024-100-P6,HRE-2024-100,Stanley PLC Practices,Medical Office,NNN,2024-04-27,2028-04-26,26.1,23395,610702.29,2.99,0.03
HRE-2024-100-P6-T5,HRE-2024-100-P6,HRE-2024-100,Harper and Sons Practices,Medical Office,NNN,2023-05-29,2026-05-28,23.25,21088,490320.17,3.16,0.03
HRE-2024-100-P7-T1,HRE-2024-100-P7,HRE-2024-100,"Lamb, Martin and Kim Practices",Medical Office,NNN,2023-02-23,2033-02-20,26.46,3949,104490.22,3.59,0.03
HRE-2024-100-P7-T2,HRE-2024-100-P7,HRE-2024-100,Diaz-Ball Practices,Medical Office,NNN,2023-04-08,2029-04-06,20.93,13969,292398.63,2.69,0.03
HRE-2024-100-P7-T3,HRE-2024-100-P7,HRE-2024-100,Bishop-Goodwin Practices,Medical Office,NNN,2023-01-28,2031-01-26,23.06,500,10626.8,2.74,0.03
HRE-2024-100-P7-T4,HRE-2024-100-P7,HRE-2024-100,Young-Allen Practices,Medical Office,NNN,2023-06-01,2031-05-30,23.44,1067,25018.2,3.03,0.03
HRE-2024-100-P7-T5,HRE-2024-100-P7,HRE-2024-100,Mckee-Lee Practices,Medical Office,NNN,2023-10-03,2030-10-01,22.71,500,5308.15,2.01,0.03
HRE-2024-100-P7-T6,HRE-2024-100-P7,HRE-2024-100,"Valentine, Joyce and Murray Practices",Medical Office,NNN,2022-04-27,2026-04-26,21.93,2058,45134.79,2.58,0.03
HRE-2024-100-P7-T7,HRE-2024-100-P7,HRE-2024-100,Strickland-Shaw Practices,Medical Office,NNN,2023-11-12,2028-11-10,27.62,2043,56443.17,2.63,0.03
HRE-2024-100-P7-T8,HRE-2024-100-P7,HRE-2024-100,Burch-Montoya Practices,Medical Office,NNN,2024-02-14,2031-02-12,24.84,1461,36306.8,3.44,0.03
HRE-2024-100-P7-T9,HRE-2024-100-P7,HRE-2024-100,"Taylor, Wright and Davidson Practices",Medical Office,NNN,2023-11-25,2031-11-23,22.96,8813,202379.83,2.32,0.03
HRE-2024-100-P7-T10,HRE-2024-100-P7,HRE-2024-100,Spencer-Garcia Practices,Medical Office,NNN,2023-08-20,2028-08-18,27.08,1868,50605.0,2.25,0.03
HRE-2024-100-P8-T1,HRE-2024-100-P8,HRE-2024-100,Nelson PLC Practices,Medical Office,NNN,2023-01-22,2033-01-19,25.74,11393,293270.39,2.85,0.03
HRE-2024-100-P8-T2,HRE-2024-100-P8,HRE-2024-100,Guerra Inc Practices,Medical Office,NNN,2023-09-11,2026-09-10,21.84,31850,695739.41,3.19,0.03
HRE-2024-100-P8-T3,HRE-2024-100-P8,HRE-2024-100,Velasquez LLC Practices,Medical Office,NNN,2023-04-12,2027-04-11,24.78,5451,135072.3,2.84,0.03
HRE-2024-101-P1-T1,HRE-2024-101-P1,HRE-2024-101,"Brooks, Hughes and Miller Practices",Medical Office,NNN,2022-06-09,2036-06-05,26.26,500,12002.29,2.25,0.025
HRE-2024-101-P1-T2,HRE-2024-101-P1,HRE-2024-101,Johnson Inc Practices,Medical Office,NNN,2024-01-30,2042-01-25,22.4,29976,671430.58,2.04,0.025
HRE-2024-101-P1-T3,HRE-2024-101-P1,HRE-2024-101,"Santos, Moody and Taylor Practices",Medical Office,NNN,2022-12-21,2041-12-16,24.09,9516,229196.38,2.42,0.025
HRE-2024-101-P1-T4,HRE-2024-101-P1,HRE-2024-101,Lowery-Kennedy Practices,Medical Office,NNN,2022-04-27,2036-04-23,22.31,1537,34320.1,3.13,0.025
HRE-2024-101-P1-T5,HRE-2024-101-P1,HRE-2024-101,Blake Group Practices,Medical Office,NNN,2023-07-20,2036-07-16,20.71,500,857.84,2.8,0.025
HRE-2024-101-P1-T6,HRE-2024-101-P1,HRE-2024-101,Gilbert-Bullock Practices,Medical Office,NNN,2023-09-26,2043-09-21,26.25,9972,261792.81,2.88,0.025
HRE-2024-102-P1-T1,HRE-2024-102-P1,HRE-2024-102,Dunn Ltd Care Ops,Skilled Nursing,NNN,2022-03-27,2029-03-25,47.39,142336,6745385.87,6.02,0.028
HRE-2024-102-P2-T1,HRE-2024-102-P2,HRE-2024-102,Turner Inc Care Ops,Skilled Nursing,NNN,2022-08-07,2035-08-04,47.95,7449,357200.0,6.57,0.028
HRE-2024-102-P3-T1,HRE-2024-102-P3,HRE-2024-102,"Bryant, Rodriguez and Stein Care Ops",Skilled Nursing,NNN,2023-07-28,2037-07-24,28.06,76992,2160763.04,3.55,0.028
HRE-2024-102-P4-T1,HRE-2024-102-P4,HRE-2024-102,Higgins LLC Care Ops,Skilled Nursing,NNN,2024-05-17,2039-05-14,44.36,12444,552032.61,5.59,0.028
HRE-2024-103-P1-T1,HRE-2024-103-P1,HRE-2024-103,Duncan and Sons Practices,Medical Office,NNN,2023-02-03,2034-01-31,20.93,3776,79057.81,3.06,0.025
HRE-2024-103-P1-T2,HRE-2024-103-P1,HRE-2024-103,"Barnett, Mills and Ward Practices",Medical Office,NNN,2022-12-27,2034-12-24,26.48,9928,262888.55,3.85,0.025
HRE-2024-103-P1-T3,HRE-2024-103-P1,HRE-2024-103,"Stephens, Hartman and Romero Practices",Medical Office,NNN,2023-03-22,2037-03-18,22.92,8900,203997.04,3.17,0.025
HRE-2024-103-P1-T4,HRE-2024-103-P1,HRE-2024-103,Myers Group Practices,Medical Office,NNN,2023-02-08,2036-02-05,29.8,14718,438641.83,3.53,0.025
HRE-2024-103-P1-T5,HRE-2024-103-P1,HRE-2024-103,Reid LLC Practices,Medical Office,NNN,2022-12-17,2041-12-12,23.84,5389,128454.99,3.15,0.025
HRE-2024-103-P1-T6,HRE-2024-103-P1,HRE-2024-103,Burgess-Kelly Practices,Medical Office,NNN,2023-08-12,2034-08-09,21.37,1198,25602.39,2.86,0.025
HRE-2024-103-P1-T7,HRE-2024-103-P1,HRE-2024-103,Cooper Ltd Practices,Medical Office,NNN,2022-12-18,2037-12-14,28.54,8796,251079.66,2.82,0.025
HRE-2024-103-P1-T8,HRE-2024-103-P1,HRE-2024-103,"Fuller, Ingram and Moss Practices",Medical Office,NNN,2022-09-27,2036-09-23,20.03,14357,287514.97,2.41,0.025
HRE-2024-103-P1-T9,HRE-2024-103-P1,HRE-2024-103,Anderson-Bell Practices,Medical Office,NNN,2023-02-18,2035-02-15,26.6,6225,165604.86,3.13,0.025
HRE-2024-104-P1-T1,HRE-2024-104-P1,HRE-2024-104,"Marshall, Dominguez and Welch Senior Living",Senior Housing,Modified Gross,2023-10-16,2026-10-15,40.75,102377,4171493.85,3.0,0.03
HRE-2024-104-P2-T1,HRE-2024-104-P2,HRE-2024-104,Johnson-Harris Senior Living,Senior Housing,Modified Gross,2023-01-18,2027-01-17,33.56,102597,3443653.85,2.45,0.03
HRE-2024-104-P3-T1,HRE-2024-104-P3,HRE-2024-104,Robertson-Hays Senior Living,Senior Housing,Modified Gross,2022-10-22,2026-10-21,29.27,5225,152923.08,1.81,0.03
HRE-2024-104-P4-T1,HRE-2024-104-P4,HRE-2024-104,"Lee, Kelly and Norman Senior Living",Senior Housing,Modified Gross,2023-11-21,2027-11-20,39.15,17810,697200.0,2.02,0.03
HRE-2024-105-P1-T1,HRE-2024-105-P1,HRE-2024-105,Kim-Ross Practices,Medical Office,NNN,2023-04-15,2028-04-13,29.88,6640,198389.25,2.91,0.03
HRE-2024-105-P1-T2,HRE-2024-105-P1,HRE-2024-105,Kline-Hughes Practices,Medical Office,NNN,2023-11-13,2028-11-11,28.45,12846,365508.46,2.49,0.03
HRE-2024-105-P1-T3,HRE-2024-105-P1,HRE-2024-105,Crawford Group Practices,Medical Office,NNN,2023-04-05,2027-04-04,23.81,40929,974687.3,2.4,0.03
HRE-2024-105-P1-T4,HRE-2024-105-P1,HRE-2024-105,Glass-Stone Practices,Medical Office,NNN,2025-03-13,2029-03-12,29.78,6036,179754.35,3.56,0.03
HRE-2024-105-P1-T5,HRE-2024-105-P1,HRE-2024-105,Acosta Inc Practices,Medical Office,NNN,2024-06-01,2027-06-01,26.86,2063,55422.66,3.61,0.03
HRE-2024-105-P1-T6,HRE-2024-105-P1,HRE-2024-105,Morrison-Short Practices,Medical Office,NNN,2023-06-09,2026-06-08,22.3,10614,236720.5,2.08,0.03
HRE-2024-105-P1-T7,HRE-2024-105-P1,HRE-2024-105,"Carter, Garcia and Murphy Practices",Medical Office,NNN,2023-06-18,2025-06-17,22.51,5404,121638.53,2.82,0.03
HRE-2024-105-P1-T8,HRE-2024-105-P1,HRE-2024-105,Parker-Morrison Practices,Medical Office,NNN,2023-08-06,2025-08-05,23.09,79556,1836910.52,2.44,0.03
HRE-2024-106-P1-T1,HRE-2024-106-P1,HRE-2024-106,West-Acosta Practices,Medical Office,NNN,2026-04-15,2031-04-14,23.85,16301,388789.2,2.11,0.033
HRE-2024-106-P1-T2,HRE-2024-106-P1,HRE-2024-106,Mendez-Graham Practices,Medical Office,NNN,2026-01-26,2033-01-24,23.68,177363,4200170.29,3.26,0.033
HRE-2024-106-P1-T3,HRE-2024-106-P1,HRE-2024-106,"Whitney, Gould and Jones Practices",Medical Office,NNN,2025-07-27,2031-07-26,25.63,56940,1459356.29,3.16,0.033
HRE-2024-106-P2-T1,HRE-2024-106-P2,HRE-2024-106,"Shelton, Cisneros and Thomas Practices",Medical Office,NNN,2025-08-03,2031-08-02,21.45,84264,1807348.1,2.17,0.033
HRE-2024-106-P2-T2,HRE-2024-106-P2,HRE-2024-106,"Gregory, Kim and Martinez Practices",Medical Office,NNN,2026-01-29,2035-01-27,21.67,114626,2484158.73,2.42,0.033
HRE-2024-106-P2-T3,HRE-2024-106-P2,HRE-2024-106,Osborne LLC Practices,Medical Office,NNN,2026-05-11,2035-05-09,26.67,15745,419903.69,3.52,0.033
HRE-2024-107-P1-T1,HRE-2024-107-P1,HRE-2024-107,Jacobs Ltd BioTech,Life Science,NNN,2024-10-15,2039-10-12,53.32,42462,2263894.74,7.96,0.025
HRE-2024-108-P1-T1,HRE-2024-108-P1,HRE-2024-108,Hines-Berry Senior Living,Senior Housing,Modified Gross,2022-02-21,2036-02-18,28.89,386641,11170010.77,1.39,0.028
HRE-2024-108-P2-T1,HRE-2024-108-P2,HRE-2024-108,Wright-Wilson Senior Living,Senior Housing,Modified Gross,2024-02-25,2031-02-23,34.41,3366,115846.15,2.75,0.028
HRE-2024-109-P1-T1,HRE-2024-109-P1,HRE-2024-109,"Wilson, Hampton and Padilla Senior Living",Senior Housing,Modified Gross,2023-08-15,2036-08-11,34.32,5987,205504.62,1.61,0.025
HRE-2024-109-P2-T1,HRE-2024-109-P2,HRE-2024-109,"Hendricks, Henry and Martinez Senior Living",Senior Housing,Modified Gross,2024-08-04,2041-07-31,30.14,3624,109230.77,1.04,0.025
HRE-2024-109-P3-T1,HRE-2024-109-P3,HRE-2024-109,Osborn-Cochran Senior Living,Senior Housing,Modified Gross,2023-11-09,2041-11-04,41.39,8190,339036.92,2.63,0.025
HRE-2024-109-P4-T1,HRE-2024-109-P4,HRE-2024-109,Pierce LLC Senior Living,Senior Housing,Modified Gross,2023-10-17,2037-10-13,32.03,74595,2389046.15,1.13,0.025
HRE-2024-109-P5-T1,HRE-2024-109-P5,HRE-2024-109,"Ho, Little and Leon Senior Living",Senior Housing,Modified Gross,2023-03-04,2037-02-28,29.61,10681,316273.85,1.22,0.025
HRE-2024-109-P6-T1,HRE-2024-109-P6,HRE-2024-109,Young Group Senior Living,Senior Housing,Modified Gross,2022-11-01,2042-10-27,36.53,16523,603544.62,1.58,0.025
HRE-2024-109-P7-T1,HRE-2024-109-P7,HRE-2024-109,Mcdonald-Bird Senior Living,Senior Housing,Modified Gross,2024-09-10,2044-09-05,29.99,32359,970338.46,1.04,0.025
HRE-2024-110-P1-T1,HRE-2024-110-P1,HRE-2024-110,Parker Ltd Senior Living,Senior Housing,Modified Gross,2023-10-20,2033-10-17,37.34,27274,1018440.0,1.86,0.025
HRE-2024-110-P2-T1,HRE-2024-110-P2,HRE-2024-110,Morrow-Jones Senior Living,Senior Housing,Modified Gross,2023-01-09,2033-01-06,32.59,3285,107076.92,2.2,0.025
HRE-2024-110-P3-T1,HRE-2024-110-P3,HRE-2024-110,Frazier-Cooper Senior Living,Senior Housing,Modified Gross,2023-03-13,2033-03-10,33.56,14475,485778.46,1.04,0.025
HRE-2024-110-P4-T1,HRE-2024-110-P4,HRE-2024-110,Shaw-Oneill Senior Living,Senior Housing,Modified Gross,2023-07-05,2033-07-02,29.61,118923,3521600.0,1.14,0.025
HRE-2024-110-P5-T1,HRE-2024-110-P5,HRE-2024-110,Martin Ltd Senior Living,Senior Housing,Modified Gross,2022-12-13,2038-12-09,34.1,11935,407000.0,1.16,0.025
HRE-2024-110-P6-T1,HRE-2024-110-P6,HRE-2024-110,Singleton-King Senior Living,Senior Housing,Modified Gross,2023-06-08,2038-06-04,35.14,6392,224633.85,2.33,0.025
HRE-2024-111-P1-T1,HRE-2024-111-P1,HRE-2024-111,"Ferguson, Shaw and Jackson Practices",Medical Office,NNN,2023-01-24,2030-01-22,24.52,10573,259258.13,3.39,0.028
HRE-2024-111-P1-T2,HRE-2024-111-P1,HRE-2024-111,"Moore, Hopkins and Le Practices",Medical Office,NNN,2022-05-17,2030-05-15,20.77,2677,55600.59,2.53,0.028
HRE-2024-111-P1-T3,HRE-2024-111-P1,HRE-2024-111,"Morgan, Bradshaw and Williams Practices",Medical Office,NNN,2022-01-10,2037-01-06,23.84,1244,29672.81,3.4,0.028
HRE-2024-111-P1-T4,HRE-2024-111-P1,HRE-2024-111,Miller Ltd Practices,Medical Office,NNN,2023-03-13,2033-03-10,24.5,500,5983.91,3.0,0.028
HRE-2024-111-P1-T5,HRE-2024-111-P1,HRE-2024-111,"Baker, Clark and Armstrong Practices",Medical Office,NNN,2022-11-01,2029-10-30,25.01,5136,128472.81,2.18,0.028
HRE-2024-111-P1-T6,HRE-2024-111-P1,HRE-2024-111,"Fowler, Jimenez and Burton Practices",Medical Office,NNN,2022-02-04,2034-02-01,28.99,5611,162693.76,2.49,0.028
HRE-2024-111-P1-T7,HRE-2024-111-P1,HRE-2024-111,May-Turner Practices,Medical Office,NNN,2023-05-28,2030-05-26,26.46,500,2404.35,3.43,0.028
HRE-2024-111-P1-T8,HRE-2024-111-P1,HRE-2024-111,Ballard Ltd Practices,Medical Office,NNN,2022-08-19,2037-08-15,29.91,3448,103153.1,3.67,0.028
HRE-2024-111-P1-T9,HRE-2024-111-P1,HRE-2024-111,Evans-Jones Practices,Medical Office,NNN,2023-01-05,2034-01-02,23.64,1561,36916.22,2.57,0.028
HRE-2024-111-P1-T10,HRE-2024-111-P1,HRE-2024-111,Moore Group Practices,Medical Office,NNN,2022-04-30,2029-04-28,23.38,6369,148933.79,2.93,0.028
HRE-2024-111-P2-T1,HRE-2024-111-P2,HRE-2024-111,"Thomas, Hensley and Flores Practices",Medical Office,NNN,2023-02-12,2032-02-10,23.33,561,13093.92,2.37,0.028
HRE-2024-111-P2-T2,HRE-2024-111-P2,HRE-2024-111,Hester-Anderson Practices,Medical Office,NNN,2023-09-26,2036-09-22,26.56,3021,80243.77,3.23,0.028
HRE-2024-111-P2-T3,HRE-2024-111-P2,HRE-2024-111,Robertson-Rodriguez Practices,Medical Office,NNN,2022-07-13,2033-07-10,29.38,1137,33414.64,3.13,0.028
HRE-2024-111-P2-T4,HRE-2024-111-P2,HRE-2024-111,Owens LLC Practices,Medical Office,NNN,2022-03-21,2031-03-19,27.92,6757,188637.39,3.61,0.028
HRE-2024-111-P2-T5,HRE-2024-111-P2,HRE-2024-111,Wright-Davis Practices,Medical Office,NNN,2023-11-02,2038-10-29,29.47,500,10110.28,3.69,0.028
HRE-2024-111-P3-T1,HRE-2024-111-P3,HRE-2024-111,"Barnes, Estes and Barrera Practices",Medical Office,NNN,2023-11-18,2032-11-15,30.0,1466,43986.52,3.02,0.028
HRE-2024-111-P3-T2,HRE-2024-111-P3,HRE-2024-111,Peck-Griffith Practices,Medical Office,NNN,2021-12-08,2036-12-04,27.88,500,12700.82,3.28,0.028
HRE-2024-111-P3-T3,HRE-2024-111-P3,HRE-2024-111,Hines Group Practices,Medical Office,NNN,2023-12-29,2038-12-25,27.39,9957,272713.18,3.46,0.028
HRE-2024-111-P3-T4,HRE-2024-111-P3,HRE-2024-111,"Owens, Koch and Jimenez Practices",Medical Office,NNN,2022-06-04,2031-06-02,28.76,7692,221268.8,3.06,0.028
HRE-2024-111-P3-T5,HRE-2024-111-P3,HRE-2024-111,Landry PLC Practices,Medical Office,NNN,2022-01-28,2031-01-26,21.62,1454,31458.55,2.39,0.028
HRE-2024-111-P3-T6,HRE-2024-111-P3,HRE-2024-111,Levy-Lewis Practices,Medical Office,NNN,2022-11-08,2032-11-05,24.11,4718,113755.28,2.96,0.028
HRE-2024-111-P4-T1,HRE-2024-111-P4,HRE-2024-111,Harper-Cameron Practices,Medical Office,NNN,2022-10-21,2036-10-17,21.12,10188,215216.59,2.83,0.028
HRE-2024-111-P4-T2,HRE-2024-111-P4,HRE-2024-111,"Ruiz, Herrera and Boone Practices",Medical Office,NNN,2023-08-24,2036-08-20,22.93,4473,102592.27,3.15,0.028
HRE-2024-111-P4-T3,HRE-2024-111-P4,HRE-2024-111,Anderson-Baker Practices,Medical Office,NNN,2023-12-14,2034-12-11,21.59,4424,95519.25,2.7,0.028
HRE-2024-111-P4-T4,HRE-2024-111-P4,HRE-2024-111,Gallagher-Diaz Practices,Medical Office,NNN,2022-02-07,2030-02-05,23.95,1464,35062.72,3.33,0.028
HRE-2024-111-P4-T5,HRE-2024-111-P4,HRE-2024-111,Williams-Hoffman Practices,Medical Office,NNN,2023-05-02,2032-04-29,22.6,547,12375.69,2.52,0.028
HRE-2024-111-P4-T6,HRE-2024-111-P4,HRE-2024-111,Tran-Jones Practices,Medical Office,NNN,2023-06-23,2031-06-21,21.98,13106,288113.48,3.02,0.028
HRE-2024-111-P5-T1,HRE-2024-111-P5,HRE-2024-111,"Becker, Wilson and Hester Practices",Medical Office,NNN,2023-03-16,2030-03-14,24.14,4492,108451.19,3.5,0.028
HRE-2024-111-P5-T2,HRE-2024-111-P5,HRE-2024-111,Brooks-Hatfield Practices,Medical Office,NNN,2023-09-18,2032-09-15,24.06,1959,47139.74,1.99,0.028
HRE-2024-111-P5-T3,HRE-2024-111-P5,HRE-2024-111,"Mcmillan, Fischer and Gonzalez Practices",Medical Office,NNN,2021-12-20,2030-12-18,23.95,812,19466.07,3.1,0.028
HRE-2024-111-P5-T4,HRE-2024-111-P5,HRE-2024-111,"Morales, Williams and Williams Practices",Medical Office,NNN,2024-01-17,2032-01-15,18.38,1098,20195.79,1.8,0.028
HRE-2024-111-P5-T5,HRE-2024-111-P5,HRE-2024-111,"Cook, Wells and Bryant Practices",Medical Office,NNN,2022-11-29,2037-11-25,23.6,2579,60858.28,2.07,0.028
HRE-2024-111-P5-T6,HRE-2024-111-P5,HRE-2024-111,"Barry, Taylor and Velazquez Practices",Medical Office,NNN,2023-06-06,2030-06-04,18.19,5876,106914.91,1.99,0.028
HRE-2024-111-P5-T7,HRE-2024-111-P5,HRE-2024-111,Martin-Ewing Practices,Medical Office,NNN,2022-09-12,2030-09-10,22.87,4483,102544.24,2.78,0.028
HRE-2024-111-P5-T8,HRE-2024-111-P5,HRE-2024-111,"Kirby, Wheeler and Romero Practices",Medical Office,NNN,2022-01-31,2032-01-29,16.68,4265,71158.94,1.5,0.028
